method,dim,function,instance,repetition,eval,best_feasible
Random,2,2,2,4,8,inf
Random,2,2,2,4,9,inf
Random,2,2,2,4,10,inf
Random,2,2,2,4,11,inf
Random,2,2,2,4,12,inf
Random,2,2,2,4,13,inf
Random,2,2,2,4,14,inf
Random,2,2,2,4,15,inf
Random,2,2,2,4,16,inf
Random,2,2,2,4,17,inf
Random,2,2,2,4,18,inf
Random,2,2,2,4,19,inf
Random,2,2,2,4,20,inf
qLogEI,2,2,2,4,1,inf
qLogEI,2,2,2,4,2,inf
qLogEI,2,2,2,4,3,inf
qLogEI,2,2,2,4,4,inf
qLogEI,2,2,2,4,5,inf
qLogEI,2,2,2,4,6,inf
qLogEI,2,2,2,4,7,inf
qLogEI,2,2,2,4,8,inf
qLogEI,2,2,2,4,9,inf
qLogEI,2,2,2,4,10,inf
qLogEI,2,2,2,4,11,inf
qLogEI,2,2,2,4,12,inf
qLogEI,2,2,2,4,13,inf
qLogEI,2,2,2,4,14,inf
qLogEI,2,2,2,4,15,inf
qLogEI,2,2,2,4,16,inf
qLogEI,2,2,2,4,17,inf
qLogEI,2,2,2,4,18,inf
qLogEI,2,2,2,4,19,inf
qLogEI,2,2,2,4,20,inf
RL,2,2,2,4,1,inf
RL,2,2,2,4,2,inf
RL,2,2,2,4,3,inf
RL,2,2,2,4,4,inf
RL,2,2,2,4,5,inf
RL,2,2,2,4,6,inf
RL,2,2,2,4,7,inf
RL,2,2,2,4,8,inf
RL,2,2,2,4,9,inf
RL,2,2,2,4,10,inf
RL,2,2,2,4,11,inf
RL,2,2,2,4,12,inf
RL,2,2,2,4,13,inf
RL,2,2,2,4,14,inf
RL,2,2,2,4,15,inf
RL,2,2,2,4,16,inf
RL,2,2,2,4,17,inf
RL,2,2,2,4,18,inf
RL,2,2,2,4,19,inf
RL,2,2,2,4,20,inf
Random,2,2,3,0,1,-6.624960755369926
Random,2,2,3,0,2,-6.624960755369926
Random,2,2,3,0,3,-6.624960755369926
Random,2,2,3,0,4,-6.624960755369926
Random,2,2,3,0,5,-6.624960755369926
Random,2,2,3,0,6,-6.624960755369926
Random,2,2,3,0,7,-538.7854115780654
Random,2,2,3,0,8,-538.7854115780654
Random,2,2,3,0,9,-538.7854115780654
Random,2,2,3,0,10,-538.7854115780654
Random,2,2,3,0,11,-538.7854115780654
Random,2,2,3,0,12,-538.7854115780654
Random,2,2,3,0,13,-538.7854115780654
Random,2,2,3,0,14,-538.7854115780654
Random,2,2,3,0,15,-538.7854115780654
Random,2,2,3,0,16,-538.7854115780654
Random,2,2,3,0,17,-681.2406693510877
Random,2,2,3,0,18,-681.2406693510877
Random,2,2,3,0,19,-681.2406693510877
Random,2,2,3,0,20,-681.2406693510877
qLogEI,2,2,3,0,1,-6.624960755369926
qLogEI,2,2,3,0,2,-6.624960755369926
qLogEI,2,2,3,0,3,-6.624960755369926
qLogEI,2,2,3,0,4,-6.624960755369926
qLogEI,2,2,3,0,5,-254.00529900855645
qLogEI,2,2,3,0,6,-427.3191312757387
qLogEI,2,2,3,0,7,-518.8420661031099
qLogEI,2,2,3,0,8,-518.8420661031099
qLogEI,2,2,3,0,9,-612.0121890568817
qLogEI,2,2,3,0,10,-612.0121890568817
qLogEI,2,2,3,0,11,-739.7681651060549
qLogEI,2,2,3,0,12,-763.6043771209124
qLogEI,2,2,3,0,13,-763.6043771209124
qLogEI,2,2,3,0,14,-784.1209728348142
qLogEI,2,2,3,0,15,-784.1209728348142
qLogEI,2,2,3,0,16,-792.3637504710678
qLogEI,2,2,3,0,17,-792.3637504710678
qLogEI,2,2,3,0,18,-792.3637504710678
qLogEI,2,2,3,0,19,-792.3637504710678
qLogEI,2,2,3,0,20,-792.3637504710678
RL,2,2,3,0,1,-6.624960755369926
RL,2,2,3,0,2,-6.624960755369926
RL,2,2,3,0,3,-6.624960755369926
RL,2,2,3,0,4,-6.624960755369926
RL,2,2,3,0,5,-6.624960755369926
RL,2,2,3,0,6,-393.80189460173193
RL,2,2,3,0,7,-393.80189460173193
RL,2,2,3,0,8,-393.80189460173193
RL,2,2,3,0,9,-393.80189460173193
RL,2,2,3,0,10,-393.80189460173193
RL,2,2,3,0,11,-393.80189460173193
RL,2,2,3,0,12,-393.80189460173193
RL,2,2,3,0,13,-393.80189460173193
RL,2,2,3,0,14,-393.80189460173193
RL,2,2,3,0,15,-393.80189460173193
RL,2,2,3,0,16,-393.80189460173193
RL,2,2,3,0,17,-393.80189460173193
RL,2,2,3,0,18,-393.80189460173193
RL,2,2,3,0,19,-393.80189460173193
RL,2,2,3,0,20,-393.80189460173193
Random,2,2,3,1,1,inf
Random,2,2,3,1,2,inf
Random,2,2,3,1,3,inf
Random,2,2,3,1,4,inf
Random,2,2,3,1,5,inf
