method,dim,function,instance,repetition,eval,best_feasible
qLogEI,2,2,2,0,16,inf
qLogEI,2,2,2,0,17,inf
qLogEI,2,2,2,0,18,inf
qLogEI,2,2,2,0,19,inf
qLogEI,2,2,2,0,20,inf
RL_Full,2,2,2,0,1,inf
RL_Full,2,2,2,0,2,inf
RL_Full,2,2,2,0,3,inf
RL_Full,2,2,2,0,4,inf
RL_Full,2,2,2,0,5,inf
RL_Full,2,2,2,0,6,inf
RL_Full,2,2,2,0,7,inf
RL_Full,2,2,2,0,8,inf
RL_Full,2,2,2,0,9,inf
RL_Full,2,2,2,0,10,inf
RL_Full,2,2,2,0,11,inf
RL_Full,2,2,2,0,12,inf
RL_Full,2,2,2,0,13,inf
RL_Full,2,2,2,0,14,inf
RL_Full,2,2,2,0,15,inf
RL_Full,2,2,2,0,16,inf
RL_Full,2,2,2,0,17,inf
RL_Full,2,2,2,0,18,inf
RL_Full,2,2,2,0,19,inf
RL_Full,2,2,2,0,20,inf
Random,2,2,2,1,1,inf
Random,2,2,2,1,2,inf
Random,2,2,2,1,3,inf
Random,2,2,2,1,4,inf
Random,2,2,2,1,5,inf
Random,2,2,2,1,6,inf
Random,2,2,2,1,7,inf
Random,2,2,2,1,8,inf
Random,2,2,2,1,9,inf
Random,2,2,2,1,10,inf
Random,2,2,2,1,11,inf
Random,2,2,2,1,12,inf
Random,2,2,2,1,13,inf
Random,2,2,2,1,14,inf
Random,2,2,2,1,15,inf
Random,2,2,2,1,16,inf
Random,2,2,2,1,17,inf
Random,2,2,2,1,18,inf
Random,2,2,2,1,19,inf
Random,2,2,2,1,20,inf
qLogEI,2,2,2,1,1,inf
qLogEI,2,2,2,1,2,inf
qLogEI,2,2,2,1,3,inf
qLogEI,2,2,2,1,4,inf
qLogEI,2,2,2,1,5,inf
qLogEI,2,2,2,1,6,inf
qLogEI,2,2,2,1,7,inf
qLogEI,2,2,2,1,8,inf
qLogEI,2,2,2,1,9,inf
qLogEI,2,2,2,1,10,inf
qLogEI,2,2,2,1,11,inf
qLogEI,2,2,2,1,12,inf
qLogEI,2,2,2,1,13,inf
qLogEI,2,2,2,1,14,inf
qLogEI,2,2,2,1,15,inf
qLogEI,2,2,2,1,16,inf
qLogEI,2,2,2,1,17,inf
qLogEI,2,2,2,1,18,inf
qLogEI,2,2,2,1,19,inf
qLogEI,2,2,2,1,20,inf
RL_Full,2,2,2,1,1,inf
RL_Full,2,2,2,1,2,inf
RL_Full,2,2,2,1,3,inf
RL_Full,2,2,2,1,4,inf
RL_Full,2,2,2,1,5,inf
RL_Full,2,2,2,1,6,inf
RL_Full,2,2,2,1,7,inf
RL_Full,2,2,2,1,8,inf
RL_Full,2,2,2,1,9,inf
RL_Full,2,2,2,1,10,inf
RL_Full,2,2,2,1,11,inf
RL_Full,2,2,2,1,12,inf
RL_Full,2,2,2,1,13,inf
RL_Full,2,2,2,1,14,inf
RL_Full,2,2,2,1,15,inf
RL_Full,2,2,2,1,16,inf
RL_Full,2,2,2,1,17,inf
RL_Full,2,2,2,1,18,inf
RL_Full,2,2,2,1,19,inf
RL_Full,2,2,2,1,20,inf
Random,2,2,2,2,1,-714.3323717964231
Random,2,2,2,2,2,-714.3323717964231
Random,2,2,2,2,3,-714.3323717964231
Random,2,2,2,2,4,-714.3323717964231
Random,2,2,2,2,5,-714.3323717964231
Random,2,2,2,2,6,-714.3323717964231
Random,2,2,2,2,7,-714.3323717964231
Random,2,2,2,2,8,-714.3323717964231
Random,2,2,2,2,9,-714.3323717964231
Random,2,2,2,2,10,-714.3323717964231
Random,2,2,2,2,11,-714.3323717964231
Random,2,2,2,2,12,-714.3323717964231
Random,2,2,2,2,13,-714.3323717964231
Random,2,2,2,2,14,-714.3323717964231
Random,2,2,2,2,15,-714.3323717964231
Random,2,2,2,2,16,-714.3323717964231
Random,2,2,2,2,17,-714.3323717964231
Random,2,2,2,2,18,-714.3323717964231
Random,2,2,2,2,19,-714.3323717964231
Random,2,2,2,2,20,-714.3323717964231
qLogEI,2,2,2,2,1,-714.3323717964231
qLogEI,2,2,2,2,2,-714.3323717964231
qLogEI,2,2,2,2,3,-714.3323717964231
qLogEI,2,2,2,2,4,-714.3323717964231
qLogEI,2,2,2,2,5,-714.3323717964231
qLogEI,2,2,2,2,6,-714.3323717964231
qLogEI,2,2,2,2,7,-714.3323717964231
qLogEI,2,2,2,2,8,-714.3323717964231
qLogEI,2,2,2,2,9,-838.0653278516531
qLogEI,2,2,2,2,10,-838.0653278516531
qLogEI,2,2,2,2,11,-838.0653278516531
qLogEI,2,2,2,2,12,-838.0653278516531
qLogEI,2,2,2,2,13,-846.2818114803479
qLogEI,2,2,2,2,14,-846.2818114803479
qLogEI,2,2,2,2,15,-846.2818114803479
qLogEI,2,2,2,2,16,-846.2818114803479
qLogEI,2,2,2,2,17,-849.7851236118969
qLogEI,2,2,2,2,18,-849.7851236118969
qLogEI,2,2,2,2,19,-849.7851236118969
qLogEI,2,2,2,2,20,-849.7851236118969
RL_Full,2,2,2,2,1,-714.3323717964231
RL_Full,2,2,2,2,2,-714.3323717964231
RL_Full,2,2,2,2,3,-714.3323717964231
RL_Full,2,2,2,2,4,-714.3323717964231
RL_Full,2,2,2,2,5,-714.3323717964231
RL_Full,2,2,2,2,6,-714.3323717964231
RL_Full,2,2,2,2,7,-714.3323717964231
RL_Full,2,2,2,2,8,-714.3323717964231
RL_Full,2,2,2,2,9,-714.3323717964231
RL_Full,2,2,2,2,10,-714.3323717964231
RL_Full,2,2,2,2,11,-714.3323717964231
RL_Full,2,2,2,2,12,-714.3323717964231
RL_Full,2,2,2,2,13,-714.3323717964231
RL_Full,2,2,2,2,14,-714.3323717964231
RL_Full,2,2,2,2,15,-714.3323717964231
RL_Full,2,2,2,2,16,-714.3323717964231
RL_Full,2,2,2,2,17,-714.3323717964231
RL_Full,2,2,2,2,18,-714.3323717964231
RL_Full,2,2,2,2,19,-714.3323717964231
RL_Full,2,2,2,2,20,-714.3323717964231
Random,2,2,2,3,1,inf
Random,2,2,2,3,2,inf
Random,2,2,2,3,3,inf
Random,2,2,2,3,4,inf
Random,2,2,2,3,5,inf
Random,2,2,2,3,6,inf
Random,2,2,2,3,7,inf
Random,2,2,2,3,8,inf
Random,2,2,2,3,9,inf
Random,2,2,2,3,10,inf
Random,2,2,2,3,11,inf
Random,2,2,2,3,12,inf
Random,2,2,2,3,13,inf
Random,2,2,2,3,14,inf
