method,dim,function,instance,repetition,final_best_feasible
RL_Enhanced,10,50,2,0,12512.953616094472
Random,10,50,2,1,11540.110753047029
qLogEI,10,50,2,1,10870.761310320586
RL_Enhanced,10,50,2,1,11693.572209775923
Random,10,50,2,2,11334.382734012928
qLogEI,10,50,2,2,10140.761797139672
RL_Enhanced,10,50,2,2,11917.046850709568
Random,10,50,2,3,12787.11366491195
qLogEI,10,50,2,3,10139.602499634606
RL_Enhanced,10,50,2,3,12565.70511308455
Random,10,50,2,4,11668.542244977363
qLogEI,10,50,2,4,10451.923716602021
RL_Enhanced,10,50,2,4,12539.803034426934
Random,10,50,3,0,2452.9510426587276
qLogEI,10,50,3,0,1345.8835865718124
RL_Enhanced,10,50,3,0,3457.875322949512
Random,10,50,3,1,2393.073874521119
qLogEI,10,50,3,1,1864.269183898607
RL_Enhanced,10,50,3,1,2898.6838899360428
Random,10,50,3,2,2676.452466433623
qLogEI,10,50,3,2,1647.1002139227983
RL_Enhanced,10,50,3,2,3530.708510520185
Random,10,50,3,3,3232.978600424647
qLogEI,10,50,3,3,1308.8930263943466
RL_Enhanced,10,50,3,3,3913.530692946033
Random,10,50,3,4,2547.3439570856763
qLogEI,10,50,3,4,1655.2465371228016
RL_Enhanced,10,50,3,4,4675.757155001253
Random,10,52,1,0,inf
qLogEI,10,52,1,0,inf
RL_Enhanced,10,52,1,0,inf
Random,10,52,1,1,inf
qLogEI,10,52,1,1,inf
RL_Enhanced,10,52,1,1,inf
Random,10,52,1,2,inf
qLogEI,10,52,1,2,inf
RL_Enhanced,10,52,1,2,inf
Random,10,52,1,3,inf
qLogEI,10,52,1,3,inf
RL_Enhanced,10,52,1,3,inf
Random,10,52,1,4,inf
qLogEI,10,52,1,4,inf
RL_Enhanced,10,52,1,4,inf
Random,10,52,2,0,inf
qLogEI,10,52,2,0,inf
RL_Enhanced,10,52,2,0,inf
Random,10,52,2,1,inf
qLogEI,10,52,2,1,inf
RL_Enhanced,10,52,2,1,inf
Random,10,52,2,2,inf
qLogEI,10,52,2,2,inf
RL_Enhanced,10,52,2,2,inf
Random,10,52,2,3,inf
qLogEI,10,52,2,3,inf
RL_Enhanced,10,52,2,3,inf
Random,10,52,2,4,inf
qLogEI,10,52,2,4,inf
RL_Enhanced,10,52,2,4,inf
Random,10,52,3,0,inf
qLogEI,10,52,3,0,inf
RL_Enhanced,10,52,3,0,inf
Random,10,52,3,1,inf
qLogEI,10,52,3,1,inf
RL_Enhanced,10,52,3,1,inf
Random,10,52,3,2,inf
qLogEI,10,52,3,2,inf
RL_Enhanced,10,52,3,2,inf
Random,10,52,3,3,inf
qLogEI,10,52,3,3,inf
RL_Enhanced,10,52,3,3,inf
Random,10,52,3,4,inf
qLogEI,10,52,3,4,inf
RL_Enhanced,10,52,3,4,inf
Random,10,54,1,0,inf
qLogEI,10,54,1,0,inf
RL_Enhanced,10,54,1,0,inf
Random,10,54,1,1,inf
qLogEI,10,54,1,1,inf
RL_Enhanced,10,54,1,1,inf
Random,10,54,1,2,inf
qLogEI,10,54,1,2,inf
RL_Enhanced,10,54,1,2,inf
Random,10,54,1,3,inf
qLogEI,10,54,1,3,inf
RL_Enhanced,10,54,1,3,inf
Random,10,54,1,4,inf
qLogEI,10,54,1,4,inf
RL_Enhanced,10,54,1,4,inf
Random,10,54,2,0,inf
qLogEI,10,54,2,0,inf
RL_Enhanced,10,54,2,0,inf
Random,10,54,2,1,inf
qLogEI,10,54,2,1,inf
RL_Enhanced,10,54,2,1,inf
Random,10,54,2,2,inf
qLogEI,10,54,2,2,inf
RL_Enhanced,10,54,2,2,inf
Random,10,54,2,3,inf
qLogEI,10,54,2,3,inf
RL_Enhanced,10,54,2,3,inf
Random,10,54,2,4,inf
qLogEI,10,54,2,4,inf
RL_Enhanced,10,54,2,4,inf
Random,10,54,3,0,inf
qLogEI,10,54,3,0,inf
RL_Enhanced,10,54,3,0,inf
Random,10,54,3,1,inf
qLogEI,10,54,3,1,inf
RL_Enhanced,10,54,3,1,inf
Random,10,54,3,2,inf
qLogEI,10,54,3,2,inf
RL_Enhanced,10,54,3,2,inf
Random,10,54,3,3,inf
qLogEI,10,54,3,3,inf
RL_Enhanced,10,54,3,3,inf
Random,10,54,3,4,inf
qLogEI,10,54,3,4,inf
RL_Enhanced,10,54,3,4,inf
