method,dim,function,instance,repetition,final_best_feasible
RL_Full,10,4,2,0,inf
Random,10,4,2,1,inf
qLogEI,10,4,2,1,inf
RL_Full,10,4,2,1,inf
Random,10,4,2,2,inf
qLogEI,10,4,2,2,inf
RL_Full,10,4,2,2,inf
Random,10,4,2,3,inf
qLogEI,10,4,2,3,inf
RL_Full,10,4,2,3,inf
Random,10,4,2,4,inf
qLogEI,10,4,2,4,inf
RL_Full,10,4,2,4,inf
Random,10,4,3,0,inf
qLogEI,10,4,3,0,inf
RL_Full,10,4,3,0,inf
Random,10,4,3,1,inf
qLogEI,10,4,3,1,inf
RL_Full,10,4,3,1,inf
Random,10,4,3,2,inf
qLogEI,10,4,3,2,inf
RL_Full,10,4,3,2,inf
Random,10,4,3,3,inf
qLogEI,10,4,3,3,inf
RL_Full,10,4,3,3,inf
Random,10,4,3,4,inf
qLogEI,10,4,3,4,inf
RL_Full,10,4,3,4,inf
Random,10,6,1,0,inf
qLogEI,10,6,1,0,inf
RL_Full,10,6,1,0,inf
Random,10,6,1,1,inf
qLogEI,10,6,1,1,inf
RL_Full,10,6,1,1,inf
Random,10,6,1,2,inf
qLogEI,10,6,1,2,inf
RL_Full,10,6,1,2,inf
Random,10,6,1,3,inf
qLogEI,10,6,1,3,inf
RL_Full,10,6,1,3,inf
Random,10,6,1,4,inf
qLogEI,10,6,1,4,inf
RL_Full,10,6,1,4,inf
Random,10,6,2,0,inf
qLogEI,10,6,2,0,inf
RL_Full,10,6,2,0,inf
Random,10,6,2,1,inf
qLogEI,10,6,2,1,inf
RL_Full,10,6,2,1,inf
Random,10,6,2,2,inf
qLogEI,10,6,2,2,inf
RL_Full,10,6,2,2,inf
Random,10,6,2,3,inf
qLogEI,10,6,2,3,inf
RL_Full,10,6,2,3,inf
Random,10,6,2,4,inf
qLogEI,10,6,2,4,inf
RL_Full,10,6,2,4,inf
Random,10,6,3,0,inf
qLogEI,10,6,3,0,inf
RL_Full,10,6,3,0,inf
Random,10,6,3,1,inf
qLogEI,10,6,3,1,inf
RL_Full,10,6,3,1,inf
Random,10,6,3,2,inf
qLogEI,10,6,3,2,inf
RL_Full,10,6,3,2,inf
Random,10,6,3,3,inf
qLogEI,10,6,3,3,inf
RL_Full,10,6,3,3,inf
Random,10,6,3,4,inf
qLogEI,10,6,3,4,inf
RL_Full,10,6,3,4,inf
Random,10,50,1,0,2645.9799228791558
qLogEI,10,50,1,0,1386.4949822465346
RL_Full,10,50,1,0,inf
Random,10,50,1,1,2429.498432639624
qLogEI,10,50,1,1,1753.6145022562825
RL_Full,10,50,1,1,2429.498432639624
Random,10,50,1,2,2803.1066083229593
qLogEI,10,50,1,2,1509.1326868350143
RL_Full,10,50,1,2,2803.1066083229593
Random,10,50,1,3,2385.637851732893
qLogEI,10,50,1,3,1789.904006267695
RL_Full,10,50,1,3,4527.0659041642575
Random,10,50,1,4,2138.924057672955
qLogEI,10,50,1,4,2138.924057672955
RL_Full,10,50,1,4,2138.924057672955
Random,10,50,2,0,11410.307269813806
qLogEI,10,50,2,0,10130.428689239554
RL_Full,10,50,2,0,19765.952044892445
Random,10,50,2,1,11540.110753047029
qLogEI,10,50,2,1,10504.101781368594
RL_Full,10,50,2,1,11693.572209775923
Random,10,50,2,2,11334.382734012928
qLogEI,10,50,2,2,10317.269355047947
RL_Full,10,50,2,2,11917.046850709568
Random,10,50,2,3,12787.11366491195
qLogEI,10,50,2,3,10246.35340186084
RL_Full,10,50,2,3,inf
Random,10,50,2,4,11668.542244977363
qLogEI,10,50,2,4,inf
RL_Full,10,50,2,4,inf
Random,10,50,3,0,2452.9510426587276
qLogEI,10,50,3,0,1480.051575791238
RL_Full,10,50,3,0,3457.875322949512
Random,10,50,3,1,2393.073874521119
qLogEI,10,50,3,1,1880.1666107538426
RL_Full,10,50,3,1,2898.6838899360428
Random,10,50,3,2,2676.452466433623
qLogEI,10,50,3,2,1799.9787168149976
RL_Full,10,50,3,2,3530.708510520185
Random,10,50,3,3,3232.978600424647
qLogEI,10,50,3,3,1974.8063358138438
RL_Full,10,50,3,3,3116.082538053869
Random,10,50,3,4,2547.3439570856763
qLogEI,10,50,3,4,1499.6152745419768
RL_Full,10,50,3,4,3602.031271856069
Random,10,52,1,0,inf
qLogEI,10,52,1,0,inf
RL_Full,10,52,1,0,inf
Random,10,52,1,1,inf
qLogEI,10,52,1,1,inf
RL_Full,10,52,1,1,inf
Random,10,52,1,2,inf
qLogEI,10,52,1,2,inf
RL_Full,10,52,1,2,inf
Random,10,52,1,3,inf
qLogEI,10,52,1,3,inf
RL_Full,10,52,1,3,inf
Random,10,52,1,4,inf
qLogEI,10,52,1,4,inf
RL_Full,10,52,1,4,inf
Random,10,52,2,0,inf
qLogEI,10,52,2,0,inf
RL_Full,10,52,2,0,inf
Random,10,52,2,1,inf
qLogEI,10,52,2,1,inf
RL_Full,10,52,2,1,inf
Random,10,52,2,2,inf
qLogEI,10,52,2,2,inf
RL_Full,10,52,2,2,inf
Random,10,52,2,3,inf
qLogEI,10,52,2,3,inf
RL_Full,10,52,2,3,inf
Random,10,52,2,4,inf
qLogEI,10,52,2,4,inf
RL_Full,10,52,2,4,inf
Random,10,52,3,0,inf
qLogEI,10,52,3,0,inf
RL_Full,10,52,3,0,inf
Random,10,52,3,1,inf
qLogEI,10,52,3,1,inf
RL_Full,10,52,3,1,inf
Random,10,52,3,2,inf
qLogEI,10,52,3,2,inf
RL_Full,10,52,3,2,inf
Random,10,52,3,3,inf
qLogEI,10,52,3,3,inf
RL_Full,10,52,3,3,inf
Random,10,52,3,4,inf
qLogEI,10,52,3,4,inf
RL_Full,10,52,3,4,inf
Random,10,54,1,0,inf
qLogEI,10,54,1,0,inf
RL_Full,10,54,1,0,inf
Random,10,54,1,1,inf
qLogEI,10,54,1,1,inf
RL_Full,10,54,1,1,inf
Random,10,54,1,2,inf
qLogEI,10,54,1,2,inf
RL_Full,10,54,1,2,inf
Random,10,54,1,3,inf
qLogEI,10,54,1,3,inf
RL_Full,10,54,1,3,inf
Random,10,54,1,4,inf
qLogEI,10,54,1,4,inf
RL_Full,10,54,1,4,inf
Random,10,54,2,0,inf
qLogEI,10,54,2,0,inf
RL_Full,10,54,2,0,inf
Random,10,54,2,1,inf
qLogEI,10,54,2,1,inf
RL_Full,10,54,2,1,inf
Random,10,54,2,2,inf
qLogEI,10,54,2,2,inf
RL_Full,10,54,2,2,inf
Random,10,54,2,3,inf
qLogEI,10,54,2,3,inf
RL_Full,10,54,2,3,inf
Random,10,54,2,4,inf
qLogEI,10,54,2,4,inf
RL_Full,10,54,2,4,inf
Random,10,54,3,0,inf
qLogEI,10,54,3,0,inf
RL_Full,10,54,3,0,inf
Random,10,54,3,1,inf
qLogEI,10,54,3,1,inf
RL_Full,10,54,3,1,inf
Random,10,54,3,2,inf
qLogEI,10,54,3,2,inf
RL_Full,10,54,3,2,inf
Random,10,54,3,3,inf
qLogEI,10,54,3,3,inf
RL_Full,10,54,3,3,inf
Random,10,54,3,4,inf
qLogEI,10,54,3,4,inf
RL_Full,10,54,3,4,inf
