method,dim,function,instance,repetition,final_best_feasible
qLogEI,10,54,3,1,inf
RL,10,54,3,1,inf
Random,10,54,3,2,inf
qLogEI,10,54,3,2,inf
RL,10,54,3,2,inf
Random,10,54,3,3,inf
qLogEI,10,54,3,3,inf
RL,10,54,3,3,inf
Random,10,54,3,4,inf
qLogEI,10,54,3,4,inf
RL,10,54,3,4,inf
